FAO_code,Latin,English,Spanish,French
rep,Penaeus penicillatus,Redtail prawn,Camarón rabo colorado,Crevette queue rouge
req,Sebastes oculatus,Patagonian redfish,Chancharro cabrilla,
rer,Petrus rupestris,Red steenbras,Dentón del Cabo,Denté du Cap
res,Lutjanus argentimaculatus,Mangrove red snapper,Pargo de manglar,Vivaneau des mangroves
ret,Relictus solitarius,Relict dace,,
reu,Roeboides caucae,,,
rev,Pagrus major,Japanese seabream,Dorada del Japón,Dorade japonaise
rew,Solaster regularis,,,
rex,Arenaeus mexicanus,Sand swimcrab,Jaiba arenera,Crabe de sable
rey,Remora brachyptera,Spearfish remora,Tardanaves,Rémora des espadons
rez,Remora osteochir,Marlin sucker,Agarrador,Rémora des marlins
rfa,Raja taaf,,,
rfb,Rhamphochromis brevis,,,
rfc,Sebastes crameri,Darkblotched rockfish,,
rfe,Pleuronectes vetulus,English sole,Soya inglesa,Carlottin anglais
rfg,Rhamdia guatemalensis,Pale catfish,Juil descolorido,
rfh,Rhopiella hirsuta,,,
rfl,Raja straeleni,Spotted skate,,
rfm,Marcia flammea,Ovate clam,,
rfo,Raja rondeleti,Rondelet's ray,,
rfp,Parupeneus barberinus,Dash-and-dot goatfish,,Rouget-barbet barberin
rfq,Parupeneus indicus,Indian goatfish,Salmonete índico,Rouget-barbet indien
rfr,Rutilus frisii,Kutum,,
rfs,Raja springeri,Roughbelly skate,,
rft,Raja stellulata,Starry skate,,
rfv,Raja ravidula,Smoothback skate,,
rfx,Raja rouxi,,,
rfy,Raja stenorhynchus,Prow-nose skate,,
rfz,Rutilus lemmingii,,Pardilla,
rga,Gurgesiella atlantica,,,
rgb,Rhinogobius brunneus,Amur goby,,
rgc,Gymnura crebripunctata,Longsnout butterfly ray,,
rgd,Rangia mendica,Western Mexican rangia,Rangia mexicana,Rangie mexicaine
rge,Paragobiodon echinocephalus,Redhead goby,,
rgf,Rhinogobius flumineus,,,
rgg,Racovitzia glacialis,,,
rgh,Argyrosomus thorpei,Squaretail kob,,
rgi,Gymnura micrura,Smooth butterfly ray,,
rgj,Gymnura japonica,Japanese butterflyray,,
rgk,Arnoglossus capensis,Cape scaldfish,,
rgl,Gymnura altavela,Spiny butterfly ray,Raya mariposa,Raie-papillon épineuse
rgm,Gymnura marmorata,California butterfly ray,Raya mariposa californiana,Raie-papillon californienne
rgn,Cristatogobius nonatoae,,,
rgo,Aseraggodes kobensis,,,
rgp,Gymnura poecilura,Long-tailed butterfly ray,,
rgq,Rangia cuneata,Common rangia,Rangia americana,Rangie americaine
rgr,Gymnetrus russelii,,,
rgs,Gurgesiella sibogae,,,
rgt,Gymnura tentaculata,Tentacled butterfly ray,,
rgu,Gymnura australis,Australian butterfly ray,,
rgv,Sargassum vulgare,Common sargassum,Sarzago común,Sargasse commune
rgx,Arnoglossus spp,Scaldfishes nei,,
rgy,Aseraggodes macleayanus,Narrowbanded sole,,
rgz,Gymnura zonura,Zonetail butterfly ray,,
rha,Rhizoprionodon acutus,Milk shark,Cazón lechoso,Requin à museau pointu
rhb,Rhabdalestes brevidorsalis,,,
rhc,Rhinochimaera spp,Knife-nosed chimaeras nei,Quimeras-navaja nep,Chimères-couteau
rhd,Rhinobatos annandalei,Annandale's guitarfish,,
rhe,Rhinoraja odai,,,
rhf,Rhinobatos formosensis,,,
rhg,Macrourus berglax,Roughhead grenadier,Granadero berglax,Grenadier berglax
rhh,Rhinobatos blochii,Bluntnose guitarfish,,
rhi,Labeo spp,Rhinofishes nei,Labeos nep,Labéos
rhj,Rhinoraja longicauda,,,
rhk,Rhinoraja kujiensis,Dapple-bellied softnose skate,,
rhl,Rhizoprionodon lalandii,Brazilian sharpnose shark,Cazón picudo chino,Requin aiguille brésilien
rhm,Rhodeus amarus,,,
rhn,Rhincodon typus,Whale shark,Tiburón ballena,Requin baleine
rho,Rhinobatos ocellatus,,,
rhp,Palmaria palmata,Dulse,,Main de mer
rhq,Rhinichthys atratulus,Blacknose dace,,
rhr,Rhizoprionodon porosus,Caribbean sharpnose shark,Cazón picudo antillano,Requin aiguille antillais
rhs,Rhamdia sapo,South American catfish,,
rht,Rhizoprionodon terraenovae,Atlantic sharpnose shark,Cazón picudo atlántico,Requin aiguille gussi
rhu,Rhizoprionodon longurio,Pacific sharpnose shark,Cazón picudo del Pacífico,Requin bironche
rhv,Rhinichthys osculus,Speckled dace,,
rhw,Rhinichthys cataractae,Longnose dace,,
rhx,Rhizoprionodon oligolinx,Grey sharpnose shark,Cazón picudo gris,Requin aiguille gris
rhy,Rhizoprionodon taylori,Australian sharpnose shark,Cazón picudo australiano,Requin aiguille réchine
rhz,Rhizoprionodon spp,Sharpnose sharks nei,Cazones picudos nep,Requins aiguilles gussi
ria,Rhinosardinia amazonica,Amazon spinejaw sprat,,
rib,Mora moro,Common mora,Mollera moranella,Moro commun
ric,Rhinomugil corsula,Corsula,,
rid,Rhadinesthes decimus,,,
rie,Paralichthys adspersus,Fine flounder,,
rif,Rineloricaria fallax,,,
rig,Paristiopterus gallipavo,Yellowspotted boarfish,,
rih,Rhinopias aphanes,,,
rii,Coris gaimard,African coris,,
rij,Arctides guineensis,Small spanish lobster,Cigarra pequena,Petite cigale des Caraïbes
rik,Raoulius cultrifer,Pastel odontodactylid mantis s,,
ril,Richardsonius balteatus,Redside shiner,,
rim,Rhamdiopsis moreirai,,,
rin,Rinoctes nasutus,Abyssal smooth-head,,
rio,Rainfordia opercularis,Flathead perch,,
rip,Rhinelepis aspera,,,
rir,Rhodichthys regina,,,
ris,Pristolepis fasciata,Malayan leaffish,,
rit,Rhinoprenes pentanemus,Threadfin scat,,
riu,Alectridium aurantiacum,Lesser prickleback,,
riv,Paralabidochromis victoriae,,,
riw,Irolita waitii,Southern round skate,,
rix,Rangia spp,,,
riy,Redigobius amblyrhynchus,,,
rja,Raja alba,White skate,Raya bramante,Raie blanche
rjb,Raja batis,Blue skate,Noriega,Pocheteau gris
rjc,Raja clavata,Thornback ray,Raya de clavos,Raie bouclée
rjd,Raja erinacea,Little skate,,Raie hérisson
rje,Raja microocellata,Small-eyed ray,Raya colorada,Raie mêlée
rjf,Raja fullonica,Shagreen ray,Raya cardadora,Raie chardon
rjg,Raja hyperborea,Arctic skate,Raya ártica,Raie arctique
rjh,Raja brachyura,Blonde ray,Raya boca de rosa,Raie lisse
rji,Raja circularis,Sandy ray,Raya falsa vela,Raie circulaire
rjj,Raja jenseni,Shorttail skate,,Raie à queue courte
rjk,Raja lintea,Sailray,Raya vela,Raie voile
rjl,Raja laevis,Barndoor skate,,Grande raie
rjm,Raja montagui,Spotted ray,Raya pintada,Raie douce
rjn,Raja naevus,Cuckoo ray,Raya santiguesa,Raie fleurie
rjo,Raja oxyrinchus,Longnosed skate,Raya picuda,Pocheteau noir
rjp,Malacoraja spinacidermis,Soft skate,Raya piel áspera,Raie peau hérissée
rjq,Bathyraja spinicauda,Spinetail ray,,Raie à queue épineuse
rjr,Raja radiata,Starry ray,Raya radiante,Raie radiée
rjs,Malacoraja senta,Smooth skate,Raya lisa norteamericana,Raie lisse américaine
rjt,Raja ocellata,Winter skate,,Raie tachetée
rju,Raja undulata,Undulate ray,Raya mosaica,Raie brunette
rjx,Aetomylaeus spp,,,
rjy,Raja fyllae,Round ray,Raya redonda,Raie ronde
rka,Serranochromis angusticeps,Thinface cichlid,,
rkb,Paramonacanthus barnardi,Wedgetail filefish,,
rkc,Aristochromis christyi,,,
rkd,Processa edulis,Nika shrimp,Camarón nica,Guernade nica
rke,Caridina edulis,Malagasy caridina,Caridina malgache,Saltarelle malgache
rkf,Parachanna africana,,,
rkg,Paracheilinus angulatus,Angular flasher,,
rkh,Procambarus hirsutus,,,
rki,Caridina africana,African caridina,Caridina africana,Saltarelle africaine
rkj,Processa peruviana,Peruvian one-handed shrimp,Camarón manco peruano,Crevette manchot péruvienne
rkk,Caridina tonkinensis,Tonkin caridina,Caridina tonkinesa,Saltarelle tonkinoise
rkl,Ratsirakia legendrei,,,
rkm,Arca imbricata,Mossy ark,Arca pata de cabra,Arche crochue
rkn,Caridina nilotica,Common caridina,Caridina común,Saltarelle commune
rko,Procambarus troglogytes,,,
rkp,Caridina propinqua,Bengal caridina,Caridina bengalí,Saltarelle bengalaise
rkq,Arca noae,Noah's ark,Arca de Noe,Arche de Noé
rkr,Caridina gracilirostris,Needlenose caridina,Caridina aguja,Saltarelle aiguille
rks,Spirula spirula,Ram's horn squid,Espírula,Spirule
rkt,Procambarus bivitattus,Ribbon crayfish,,
rku,Processa canaliculata,Processa shrimp,Camarón procesa,Guernade processe
rkv,Caridina laevis,Smooth caridina,Caridina lisa,Saltarelle glabre
rkw,Caridina weberi,Pugnose caridina,Caridina ñata,Saltarelle nez-camus
rkx,Procambarus fallax,,,
rky,Procambarus hayi,,,
rkz,Arnoglossus kessleri,Scaldback,Peluda,Fausse limande de Kessler
rla,Rutilus alburnoides,,,
rlb,Paralonchurus brasiliensis,Banded croaker,,
rlc,Rhamdella eriarcha,,,
rld,Crenicichla lepidota,Pike cichlid,,
rle,Paralonchurus elegans,Blackfin croaker,,
rlf,Seriola fasciata,Lesser amberjack,Medregal listado,Sériole babiane
rlg,Rana aurora,Red-legged frog,,
rlh,Seriola hippos,Samson fish,,
rli,Arnoglossus imperialis,Imperial scaldfish,,
rlj,Crenicichla johanna,,,
rll,Rabaulichthys altipinnis,Sailfin anthias,,
rlm,Croilia mossambica,Burrowing goby,,
rln,Seriola peruana,Fortune jack,Medregal fortuno,Sériole bijou
rlo,Priolepis boreus,,,
rlp,Serraniculus pumilio,Pygmy sea bass,,
rlr,Seriola carpenteri,Guinean amberjack,Medregal de Guinea,Sériole guinéenne
rls,Parrella fusca,,,
rlt,Crenicichla alta,,,
rlu,Radulinus vinculus,Smoothgum sculpin,,
rlv,Rhabdolichops caviceps,,,
rlx,Crenicichla saxatilis,Ringtail pike cichlid,,
rly,Rathbunella hypoplecta,Stripefin ronquil,,
rlz,Seriola zonata,Banded rudderfish,Medregal guaimeque,Sériole guaimèque
rma,Manta alfredi,,,
rmb,Manta birostris,Giant manta,Manta gigante,Mante géante
rmc,Mobula coilloti,,,
rme,Mobula eregoodootenkee,Longhorned mobula,,
rmf,Sparisoma aurofrenatum,Redband parrotfish,,
rmg,Sebastes melanops,Black rockfish,,
rmh,Mobula hypostoma,Lesser devil ray,Manta del Golfo,Mante diable
rmi,Leiarius arekaima,,,
rmj,Mobula japanica,Spinetail mobula,,
rmk,Mobula kuhlii,Shortfin devil ray,,Petit diable
rml,Rhamphichthys hahni,,,
rmm,Mobula mobular,Devil fish,Manta mobula,
rmn,Mobula rochebrunei,Lesser Guinean devil ray,Diablito de Guinea,Petit diable de Guinée
rmo,Mobula thurstoni,Smoothtail mobula,,
rmp,Rhombosolea plebeia,Sand flounder,,
rmq,Rhamdia quelen,,,
rmr,Mobula robertsi,,,
rms,Sesarma sulcatum,Hairy matchbox crab,Abuete cajeta peluda,Anglette poilue
rmt,Mobula tarapacana,Chilean devil ray,,
rmu,Mobula munkiana,Munk's devil ray,,
rmv,Mobula spp,Mobula nei,,
rmw,Rexea nakamurai,Nakamura's escolar,Escolar de Nakamura,Escolier dentu
rmx,Paraclinus mexicanus,Mexican blenny,,
rmz,Archamia zosterophora,Blackbelted cardinalfish,,
rna,Neoraja africana,,,
rnb,Serranus atrobranchus,Blackear bass,,
rnc,Parananochromis caudifasciatus,,,
rnd,Ruanoho decemdigitatus,Longfinned triplefin,,
rne,Cirrhinus reba,Reba carp,,
rnf,Serranus fasciatus,,,
rng,Coryphaenoides rupestris,Roundnose grenadier,Granadero de roca,Grenadier de roche
rnh,Arnoglossus thori,Thor's scaldfish,,
rni,Paranibea semiluctuosa,Half-mourning croaker,,
rnj,Seriolina nigrofasciata,Blackbanded trevally,,Sériole amourez
rnk,Rhinosolea microlepidota,,,
rnl,Caprodon longimanus,Pink maomao,,
rnm,Cirrhinus microlepis,Small scale mud carp,,
rnn,Rhinoliparis attenuatus,Slim snailfish,,
rno,Notoraja ochroderma,,,
rnp,Rhabdoblennius ellipes,Barred-chin blenny,,
rnq,Saron neglectus,Spotted marbled shrimp,,
rnr,Cirrhinus cirrhosus,,,
rns,Neoraja stehmanni,African pygmy skate,,
rnt,Notoraja tobitukai,,,
rnu,Notoraja subtilispinosa,,,
rnv,Sebastes nigrocinctus,Tiger rockfish,,
rnw,Lissodelphis borealis,Northern right whale dolphin,Delfín liso del Norte,Dauphin à dos lisse boréal
rnx,Rhamdia spp,,,
rny,Atrina chautardi,Chautard's pen shell,Pina de Chautard,Lambonneau de Chautard
roa,Rossia macrosoma,Stout bobtail squid,Globito robusto,Sépiole melon
rob,Centropomus spp,Snooks(=Robalos) nei,Róbalos nep,Crossies
roc,Cancer productus,Pacific rock crab,Jaiba del Pacífico,Tourteau du Pacifique
rod,Prognathodes dichrous,Bicolor butterflyfish,,
rof,Rhombosolea leporina,Yellowbelly flounder,,
rog,Rohtee ogilbii,,,
roh,Rhabdosargus holubi,Cape stumpnose,,
roi,Rohteichthys microlepis,,,
roj,Prolatilus jugularis,Pacific sandperch,Blanquillo,Tile blanquille
rok,Helicolenus spp,Rosefishes nei,Rascacios sureños nep,Sébastes chèvres
rol,Gaidropsarus spp,Rocklings nei,Barbadas nep,Motelles
rom,Chrysoblephus laticeps,Roman seabream,Sargo montura blanca,Spare à selle blanche
ron,Rhoadsia altipinna,,,
roo,Rhodeus ocellatus,Rosy bitterling,,
rop,Rhombosolea tapirina,Greenback flounder,,
roq,Protothaca asperrima,Rough littleneck,Taca lima,Vénus râpe
ror,Rhodeus sericeus,Bitterling,,
ros,Lepidopsetta bilineata,Rock sole,Lenguado del Pacífico,Fausse limande du Pacifique
rot,Rouleina attrita,Softskin smooth-head,,
rou,Romanogobio tenuicorpus,Amur whitefin gudgeon,,
rov,Romanichthys valsanicola,Asprete,,
row,Rogadius welanderi,Welander's flathead,,
roy,Morone chrysops,White bass,,
rpa,Anoxypristis cuspidata,Pointed sawfish,,
rpb,Parupeneus bifasciatus,Doublebar goatfish,,
rpc,Pristis clavata,Dwarf sawfish,,
rpd,Plesiobatis daviesi,Deep-water stingray,,
rpe,Prototroctes maraena,Australian grayling,,
rpf,Parupeneus forsskali,Red Sea goatfish,,
rpg,Pagrus pagrus,Red porgy,Pargo,Pagre rouge
rph,Parupeneus porphyreus,,,
rpi,Parapercis snyderi,U-mark sandperch,,
rpj,Sebastes proriger,Redstripe rockfish,,
rpk,Parupeneus multifasciatus,Manybar goatfish,,
rpl,Parupeneus pleurostigma,Sidespot goatfish,,
rpm,Pristis microdon,Largetooth sawfish,,
rpn,Rapana spp,Sea snails,Caracoles de mar,Escargots de mer
rpo,Parupeneus macronema,Long-barbel goatfish,,
rpp,Pristis pectinata,Smalltooth sawfish,,
rpq,Rogadius prionotus,Blackblotch flathead,,
rpr,Pristis pristis,Common sawfish,,
rps,Platyrhina sinensis,,,
rpt,Platyrhinoidis triseriata,Thornback guitarfish,,
rpu,Rhomboplites aurorubens,Vermilion snapper,Pargo cunaro,Vivaneau ti-yeux
rpv,Rhaphiodon vulpinus,Biara,,
rpw,Rapana venosa,Thomas' rapa whelk,Busano veteado,Rapana veine
rpx,Parupeneus spp,,,
rpy,Parupeneus cyclostomus,Gold-saddle goatfish,,
rpz,Pristis zijsron,Longcomb sawfish,,
rqa,Procambarus alleni,Florida crayfish,,
rqb,Rexea bengalensis,Bengal escolar,Escolar bengalí,Escolier bengalais
rqc,Protothaca columbiensis,Columbian littleneck,Almejuela colombiana,Vénus colombienne
rqd,Macrobrachium rathbunae,Shortfinger river shrimp,Cauque pulgarcito,Bouquet petits doigts
rqe,Protothaca pectorina,Brazilian comb venus,,
rqf,Parupeneus heptacanthus,Cinnabar goatfish,,Rouget-barbet cinnabare
rqg,Protothaca grata,Lesser littleneck,Taca menor,Vénus naine
rqh,Trochus hanleyanus,Lined top,,Troque rayé
rqi,Rhopilema hispidum,,,
rqj,Ronquilus jordani,Northern ronquil,,
rqm,Trochus maculatus,Maculated top,,Troque tacheté
rqn,Trochus niloticus,Commercial top,,Trocha nacrier
rqo,Rhopilema nomadica,,,
rqp,Arca pacifica,Chuchoca ark,Arca chuchoca,Arche chuchoque
rqr,Rapana rapiformis,Turnish shaped rapa,,Rapane bulbeuse
rqs,Rhopilema asamushi,,,
rqt,Protothaca tenerrima,Thin-shelled littleneck,Almejuela fina,Vénus fine
rqu,Rhopilema esculenta,,,
rqv,Arca ventricosa,Ventricose ark,,Arche ventrue
rqz,Arca zebra,Turkey wing,Arca cebra,Arche zèbre
rra,Aptychotrema bougainvillii,Short-snouted shovelnose ray,,
rrb,Rondeletia bicolor,,,
rrc,Reganochromis calliurus,,,
rrd,Paretroplus damii,,,
rre,Parahollardia lineata,Jambeau,,
rrf,Rhamphocottus richardsoni,Grunt sculpin,,
rrg,Regalecidae,Oarfishes nei,Reyes de arenque nep,Régalecs
rrh,Etrumeus teres,Red-eye round herring,Sardineta canalera,Shadine ronde
rri,Crenicara filamentosa,Chessboard cichlid,,
rrj,Protrachypene precipua,Titi shrimp,Camarón tití,Crevette titi
rrk,Parribacus caledonicus,Caledonian mitten lobster,Cigarra de Caledonia,Cigale calédonienne
rrl,Remorina albescens,White suckerfish,,
rrm,Ruscarius meanyi,Puget Sound sculpin,,
rrn,Parribacus antarcticus,Sculptured mitten lobster,Cigarra chinesa,Cigale savate
rro,Rudarius ercodes,Whitespotted pygmy filefish,,
rrp,Paraluteres prionurus,False puffer,,
rrr,Retropinna retropinna,Cucumberfish,,
rrs,Pleoticus robustus,Royal red shrimp,Camarón rojo real,Salicoque royale rouge
rrt,Rita rita,Rita,,
rru,Elagatis bipinnulata,Rainbow runner,Macarela salmón,Comète saumon
rrv,Sebastes ruberrimus,Yelloweye rockfish,,
rrw,Rioraja agassizi,Rio skate,Raya lisa,
rrx,Serrasalmus spp,,,
rry,Rhina ancylostoma,Bowmouth guitarfish,,
rrz,Rasbora tawarensis,,,
rsa,Decapterus maruadsi,Japanese scad,Macarela japonesa,Comète japonaise
rsb,Risor ruber,Tusked goby,,
rsc,Trachurus lathami,Rough scad,Chicharro garretón,Chinchard frappeur
rsd,Arctides antipodarum,Rough spanish lobster,,Cigale rugueuse
rse,Scorpaena scrofa,Red scorpionfish,Cabracho,Rascasse rouge
rsf,Rasborichthys helfrichii,,,
rsg,Rasbora elanga,,,
rsh,Sicyonia brevirostris,Rock shrimp,Camarón de piedra,Boucot ovetgernade
rsi,Labropsis alleni,Allen's tubelip,,
rsj,Cristiceps aurantiacus,Golden weedfish,,
rsk,Carcharhinidae,Requiem sharks nei,"Cazones picudos,tintoreras nep",Requins
rsl,Rasborinus lineatus,,,
rsm,Parapsettus panamensis,Panama spadefish,,
rsn,Chrysoblephus gibbiceps,Red stumpnose seabream,Sargo cabezón,Spare gibbeux
rso,Proterorhinus marmoratus,Tubenose goby,,
rsp,Tetrapturus georgii,Roundscale spearfish,Marlín peto,Makaire épée
rsq,Arenaeus cribarius,Speckled swimcrab,Jaiba pintada,Crabe cyrique
rsr,Rasbora rasbora,Gangetic scissortail rasbora,,
rss,Rhabdosargus sarba,Goldlined seabream,Sargo dorado,Sargue doré
rst,Rasbora heteromorpha,Harlequin rasbora,,
rsu,Rusichthys plesiomorphus,,,
rsv,Rasbora einthovenii,Brilliant rasbora,,
rsw,Lissodelphis peronii,Southern right whale dolphin,Delfín liso austral,Dauphin aptère austral
rsx,Chrysoblephus spp,Daggerhead breams nei,Sargos australes nep,Spares australs
rsy,Sparisoma chrysopterum,Redtail parrotfish,,
rsz,Rasbora argyrotaenia,Silver rasbora,,
rta,Ramnogaster arcuata,Jenyns's sprat,Sardinela del Plata,Sardinelle de la Plata
rtb,Taeniura grabata,Round stingray,,
rtc,Paracirrhites arcatus,Arc-eye hawkfish,,
rtd,Steno bredanensis,Rough-toothed dolphin,Esteno,Sténo
rte,Taeniura meyeni,Round ribbontail ray,,
rtf,Trygonorrhina fasciata,Southern fiddler,,
rtg,Trygonorrhina guaneria,,,
rth,Rhabdosargus thorpei,Bigeye stumpnose,,
rti,Cryptacanthoides bergi,,,
rtj,Trygonoptera javanica,,,
rtk,Trygonoptera kaiana,,,
rtl,Cryptacanthodes aleutensis,Dwarf wrymouth,,
rtm,Trygonorrhina melaleuca,Magpie fiddler ray,,
rtn,Paratilapia polleni,,,
rto,Trygonoptera ovalis,Striped stingaree,,
rtp,Trygonoptera personata,Masked stingaree,,
rtq,Portunus spinimanus,Blotched swimming crab,Jaiba de manchas blancas,Crabe tacheté
rtr,Rutilus rubilio,,,
rts,Protomelas annectens,,,
rtt,Asprotilapia leptura,,,
rtu,Trygonoptera mucosa,Western shovelnose stingaree,,
rtv,Ruditapes variegatus,Variegated carpet shell,Almeja jaspeada,Palourde bigarrée
rtw,Prochaetoderma californicum,Jawed solenogaster,,
rtx,Macrouridae,"Grenadiers, rattails nei","Granaderos, colas de ratón nep",
rty,Taeniura lymma,Ribbontail stingray,,
rtz,Cratinus agassizii,Graery threadfin seabass,,
rua,Urogymnus asperrimus,Porcupine ray,,
rub,Caranx crysos,Blue runner,Cojinúa negra,Carangue coubali
ruc,Urolophus bucculentus,Sandyback stingaree,,
rud,Ratabulus diversidens,Orange-freckled flathead,,
rue,Urolophus expansus,Wide stingaree,,
ruf,Arripis georgianus,Ruff,Salmón áspero,Saumon rude
rug,Urolophus gigas,Spotted stingaree,,
ruh,Urolophus halleri,Haller's round ray,,
rui,Urolophus circularis,Circular stingaree,,
ruj,Urolophus jamaicensis,Yellow stingray,,
ruk,Urolophus mitosis,Mitotic stingaree,,
rul,Urolophus lobatus,Lobed stingaree,,
rum,Urolophus maculatus,Spotted round ray,,
run,Urogymnus natalensis,Butterfly ray,,
ruo,Urolophus concentricus,Spot-on-spot round ray,,
rup,Urolophus paucimaculatus,Sparsely-spotted stingaree,,
ruq,Urolophus orarius,Coastal stingaree,,
rur,Urolophus armatus,,,
rus,Decapterus russelli,Indian scad,Macarela índica,Comète indienne
rut,Urolophus cruciatus,Crossback stingaree,,
ruu,Urolophus aurantiacus,,,
ruv,Urolophus flavomosaicus,Patchwork stingaree,,
ruw,Urolophus westraliensis,Brown stingaree,,
rux,Urolophus sufflavus,Yellowback stingaree,,
ruy,Urolophus testaceus,Common stingaree,,
ruz,Urolophus viridis,Greenback stingaree,,
rva,Rhinoclavis aspera,Rough vergatus,,Cérithe reche
rvb,Sebastes babcocki,Redbanded rockfish,,
rvc,Sebastes ciliatus,Dusky rockfish,,
rve,Pteraster rugatus,,,
rvf,Rhinoclavis fasciata,Banded vertagus,,Cérithe fascié
rvh,Sebastes helvomaculatus,Rosethorn rockfish,,
rvm,Sebastes melanostomus,Blackgill rockfish,,
rvn,Sebastes nebulosus,China rockfish,,
rvp,Sebastes polyspinis,Northern rockfish,,
rvr,Sebastes aurora,Aurora rockfish,,
rvs,Rhinoclavis sinensis,Obelisk vergatus,,Cérithe obelisque
rvt,Sebastes saxicola,Stripetail rockfish,,
rvu,Sebastes variegatus,Harlequin rockfish,,
rvv,Rhinoclavis vergatus,Common vergatus,,Cérithe vautre
rvw,Sebastes wilsoni,Pygmy rockfish,,
rvx,Urolophus spp,,,
rvy,Rivulus cylindraceus,Green rivulus,,
rvz,Sebastes zacentrus,Sharpchin rockfish,,
rwa,Dussumieria spp,Rainbow sardines nei,Sardinas arco iris nep,Sardines arc-en-ciel
rws,Rasbora elegans,Twospot rasbora,,
rwx,Semaprochilodus spp,,,
rxa,Rexea antefurcata,Long-finned escolar,Escolar de aleta larga,Escolier longues ailes
rxg,Roeboexodon guyanensis,,,
rxj,Rexichthys johnpaxtoni,Paxton's escolar,Escolar de Paxton,Escolier bécune
rxk,Processa spp,Processa shrimps nei,Camarones Processa nep,Crevettes Processa
rxl,Strombus latus,West African stromb,Cobo de Africa occidental,Strombe d'Afrique occidentale
rxo,Staurocucumis liouvillei,,,
rxp,Rexea prometheoides,Royal escolar,Escolar real,Escolier royal
rxq,Sclerasterias mollis,Cross-fish,,
rxr,Strombus raninus,Hawk-wing conch,Cobo ala de aguila,Strombe aile-de-faucon
rxs,Rhabdosargus haffara,Haffara seabream,Sargo hafará,Sargue haffara
rxu,Strombus pugilis,Fighting conch,Cobo luchador,Strombe combattant
rxx,Rexea spp,,,
rxy,Argyrosomus spp,Meagres nei,Corvinas nep,Maigres
rya,Rhytiodus argenteofuscus,,,
ryb,Rhynchoconger brevirostris,,,
ryc,Rypticus saponaceus,Greater soapfish,,
ryd,Rhodymenichthys dolichogaster,Stippled gunnel,,
rye,Aetomylaeus vespertilio,Ornate eagle ray,,
ryf,Raneya fluminensis,,,
ryg,Plagiogeneion rubiginosum,Rubyfish,,
ryh,Aetomylaeus niehofii,Banded eagle ray,,
ryi,Rhycherus filamentosus,Tasselled anglerfish,,
ryj,Argyrosomus japonicus,Japanese meagre,,
ryl,Rosenblattichthys alatus,,,
rym,Aetomylaeus maculatus,Mottled eagle ray,,
ryn,Corymbophanes andersoni,,,
ryo,Rhynchactis leptonema,,,
ryp,Corydoras paleatus,Peppered corydoras,,
ryq,Serolis gracilis,,,
ryr,Rhyacichthys aspro,Loach goby,,
rys,Rhamphocetichthys savagei,,,
ryt,Rhynchogadus hepaticus,,,
ryu,Corydoras aeneus,Bronze corydoras,,
ryv,Aetomylaeus milvus,,,
ryw,Rhynchocinetes typus,Rabbitnose shrimp,Camarón de playa,Sauté des plages
ryx,Rhynchopelates oxyrhynchus,,,
ryy,Argyrosomus amoyensis,Amoy croaker,,
ryz,Brachypleura novaezeelandiae,Yellow-dabbled flounder,,
rze,Zapteryx exasperata,Banded guitarfish,,
rzs,Zanobatus schoenleinii,,,
rzt,Solenosmilia variabilis,,,
rzu,Sympagurus dimorphus,,,
rzv,Ranzania laevis,Slender sunfish,,
rzx,Ricuzenius nudithorax,,,
raa,Coilia mystus,Osbeck's grenadier anchovy,Anchoa granadera,Alice
sab,Anoplopoma fimbria,Sablefish,Bacalao negro,Morue charbonnière
sac,Phoca caspica,Caspian seal,Foca del Caspio,Phoque de la Mer Caspienne
sad,Aristostomias grimaldii,,,
sae,Sardinella maderensis,Madeiran sardinella,Machuelo,Grande allache
saf,Eleginus gracilis,Saffron cod,Bacalao del Artico,Morne boréale
sag,Sardinella gibbosa,Goldstripe sardinella,Sardinela dorada,Sardinelle dorée
sah,Sarotherodon melanotheron,Blackchin tilapia,,
sai,Istiophorus albicans,Atlantic sailfish,Pez vela del Atlántico,Voilier de l'Atlantique
saj,Acantholingua ohridana,,,
sak,Sabanejewia balcanica,,,
sal,Salmo salar,Atlantic salmon,Salmón del Atlántico,Saumon de l'Atlantique
sam,Sardinella lemuru,Bali sardinella,Sardinela de Balí,Sardinelle de Bali
san,Ammodytes spp,Sandeels(=Sandlances) nei,Lanzones nep,Lançons
sao,Salilota australis,Tadpole codling,Bacalao criollo,More têtard
sap,Cololabis saira,Pacific saury,Paparda del Pacífico,Balaou du Japon
saq,Anarchopterus criniger,Fringed pipefish,,
sar,Sarotherodon galilaeus,Mango tilapia,,
sas,Harengula spp,Scaled sardines,Sardinetas,Harengules
sau,Scomberesox saurus,Atlantic saury,Paparda del Atlántico,Balaou atlantique
sav,Sander volgensis,Volga pikeperch,,
saw,Pristidae,Sawfishes,Peces sierra,Poissons-scies
sax,Scomberesocidae,Sauries nei,Papardas nep,"Balaous, bananes de mer"
say,Steindachneridion amblyurua,,,
saz,Solenocera alfonso,Deep-water mud shrimp,,
sba,Pagellus acarne,Axillary seabream,Aligote,Pageot acarne
sbb,Stomias boa,Boa dragonfish,Estomias,
sbc,Sebastes paucispinis,Bocaccio rockfish,Chancharro bocacio,Sébaste bocace
sbd,Spinibarbus denticulatus,,,
sbe,Brachymystax lenok,Lenok,,
